ID,Name,Owner,Dine_Type,Mailing_Address,Billing_Address,Postal_Code,Phone_1,Phone_2,Email,Website,Business_Operation_Year,Business_Owner_Year,Number_Of_Staff_Before_Covid,Number_Of_Staff_During_Covid,Number_Of_Staff_During_Reopen,Total_Hours_Per_Week_Before_Covid,Total_Hours_Per_Week_During_Covid,Total_Hours_Per_Week_During_Reopen,Delivery,Curbside_Pickup,Dine_In_Service,Patio_Service,Cuisine,Offer_Alcohol,Price_Point_Target,Guest_Capacity,Business_Start_Hour,Business_End_Hour,Franchise,Own_Lease,Income_052019_102019,Income_052020_102020,Income_052021_102021,Profit_052019_102019,Profit_052020_102020,Profit_052021_102021,Customers_Weekly_Before_Covid,Customers_Weekly_During_Covid,Customers_Weekly_During_Reopen,Helpfulness
2871,KNOCKOUT,Jackie Kovacek,Restaurant,207 AUGUSTA AVE,207 AUGUSTA AVE,"NA",7899636425,5923481567,gkm@cfmsu.zaw,"NA",6-10 years,Under 1 year,29,26,1,39,0,21,N,Y,Y,N,American,N,Average,15,11,20,N,Lease,1991215,321096,4861133,21300,2435,26605,119,114,144,3
2872,KNUCKLE SANDWICHES,Edmund Beahan,Restaurant,969 COXWELL AVE,969 COXWELL AVE,"NA",8415471849,7358767462,qs@xlesr.xuc,"NA",6-10 years,11-20 years,8,2,13,19,38,18,Y,N,N,Y,Italian,N,Average,40,11,21,N,Own,3111670,539389,2055902,12544,13792,2128,440,239,454,3
2873,KOH LIPE THAI KITCHEN,Alverta Parisian,Restaurant,35 BALDWIN ST,35 BALDWIN ST,"NA",5818434867,1761979756,etlkoy@j.koq,"NA",1-5 years,Over 20 years,9,24,27,20,1,4,Y,N,Y,N,American,Y,Low-end,92,9,19,N,Lease,1718277,50567,3509853,3777,9680,29900,111,23,321,1
2874,KOH SAMUI THAI KITCHEN,Carmelo Wintheiser,Restaurant,588 DANFORTH AVE,588 DANFORTH AVE,"NA",8914615341,7498267194,pjoavhq@oyhbdpqvx.gak,"NA",Under 1 year,6-10 years,8,2,2,19,24,31,N,Y,Y,N,Italian,N,Average,111,11,22,Y,Own,1734979,527097,526853,9510,18808,26389,352,256,306,2
2875,KOI KOI SAKE BAR,Jarred Parker,Restaurant,170 BALDWIN ST,170 BALDWIN ST,"NA",5482488435,7417426548,plzv@yikeh.sen,"NA",1-5 years,Over 20 years,19,29,28,37,27,36,Y,N,N,N,Vietnamese,N,Low-end,102,12,20,N,Lease,3749864,742922,2079606,26057,6535,8480,194,406,5,2
2876,KOJA RESTAURANT,Errol Ebert,Restaurant,120 ATLANTIC AVE,120 ATLANTIC AVE,"NA",7131861253,6952791286,mlwbvnep@hwzcrj.cfu,"NA",Under 1 year,1-5 years,20,26,21,26,0,14,Y,Y,Y,Y,Chinese,Y,Low-end,19,12,18,N,"Lease, want to purchase",1475690,316752,3068400,28752,2784,8870,403,253,497,4
2877,KOJI  SUSHI,Loren Cummerata,Restaurant,1553 DUPONT ST,1553 DUPONT ST,"NA",6421743892,4976527342,qko@vgc.zri,"NA",Over 20 years,6-10 years,8,25,19,39,38,35,Y,N,Y,N,Greek,N,High-end,6,12,22,Y,Lease,270444,994062,2058683,3713,9617,21792,372,319,251,4
2878,KOKO!,Maximo Dooley,Restaurant,81 YORKVILLE AVE,81 YORKVILLE AVE,"NA",9865711583,2951724158,ohdxa@sxnjb.gqn,"NA",1-5 years,6-10 years,11,5,22,25,5,5,Y,Y,N,N,Indian,N,Low-end,19,11,21,Y,Own,1748202,378924,2888317,4188,9731,35512,279,14,431,3
2879,KOKYO SUSHI,Mervin Hodkiewicz,Restaurant,572 ROGERS RD,572 ROGERS RD,"NA",8175437361,9215977932,ygdiuchprs@svg.pse,"NA",11-20 years,11-20 years,11,6,16,32,10,35,Y,Y,Y,N,Indian,N,High-end,92,10,19,Y,Own,1120960,571319,3815706,17868,290,31940,441,232,32,3
2880,KONJIKI  RAMEN & SARYO CAFE,Carl Gerlach,Restaurant,"5051 YONGE ST, Unit-3A","5051 YONGE ST, Unit-3A","NA",1792184291,2941965298,sloqemwur@dnrsjg.rvz,"NA",Under 1 year,Under 1 year,19,13,16,39,13,35,Y,Y,Y,Y,Japanese,N,Low-end,114,9,19,N,Own,961015,792652,3637021,5334,7499,31064,261,208,359,1
2881,KONJIKI RAMEN,Leonia Hills,Restaurant,41 ELM ST,41 ELM ST,"NA",2967359246,6742899145,z@npax.wyj,"NA",Over 20 years,Under 1 year,28,20,7,38,13,27,N,Y,Y,N,Greek,N,Average,107,10,20,Y,Lease,2748326,817373,48500,28311,5365,32924,68,210,319,1
2882,KOREA HOUSE RESTAURANT,Val Rath,Restaurant,666 BLOOR ST W,666 BLOOR ST W,"NA",4281749572,4593955162,ldz@rqlyigusnj.bit,"NA",6-10 years,11-20 years,26,9,29,12,31,21,Y,N,Y,N,Thai,Y,High-end,76,11,18,N,Own,1761493,882518,3658260,10431,896,36851,113,408,359,2
2883,KOREAN CHINESE RESTAURANT,Joane Sanford,Restaurant,5451 YONGE ST,5451 YONGE ST,"NA",3522591839,2543895843,adimuetpc@yhmtsdprua.ocz,"NA",6-10 years,Under 1 year,15,4,25,37,20,31,N,Y,Y,N,Mediterranean,Y,Low-end,129,10,21,N,Own,2352887,971541,4797521,31230,8899,15642,169,359,380,2
2884,KOREAN GRILL HOUSE,Salvatore Stroman,Restaurant,214 QUEEN ST W,214 QUEEN ST W,"NA",2691867218,2832634389,uzkdwrp@ikbecn.tfp,"NA",6-10 years,Over 20 years,22,25,16,24,7,11,Y,Y,Y,Y,Mediterranean,N,Low-end,118,12,19,N,Own,1012354,243415,4055934,21460,14468,8607,363,46,149,2
2885,KOREAN GRILL HOUSE,Dorian Luettgen,Restaurant,754 YONGE ST,754 YONGE ST,"NA",1498621235,8616158416,iktrfgzdb@foix.hzi,"NA",1-5 years,1-5 years,18,2,28,24,4,39,Y,N,N,N,Greek,N,Average,58,11,21,N,Lease,1408215,475763,4324893,8821,22116,4892,83,126,186,2
2886,KOREAN GRILL HOUSE/KOREAN BBQ RESTAURANT,Veda Kris,Restaurant,"3280 MIDLAND AVE, Unit-26","3280 MIDLAND AVE, Unit-26","NA",7611944627,3814151734,wr@q.ltk,"NA",1-5 years,1-5 years,11,1,14,15,6,11,N,N,N,N,Italian,N,Low-end,58,10,22,Y,Lease,691786,489534,810487,6251,1785,26014,287,78,413,1
2887,KOREAN VILLAGE RESTAURANT,Bennie Medhurst,Restaurant,626 BLOOR ST W,626 BLOOR ST W,"NA",2467395872,4789789154,nrmkqfzob@rwciguvtbp.wnh,"NA",Under 1 year,1-5 years,11,29,2,13,31,6,Y,Y,N,N,Japanese,Y,Average,62,11,19,N,Lease,3974953,703224,4379201,20333,8002,12297,94,382,34,3
2888,KORICANCHA RESTAURANT,Kelly Lehner,Restaurant,1885 EGLINTON AVE W,1885 EGLINTON AVE W,"NA",3472143247,6352181784,x@wehdijzrop.mil,"NA",Under 1 year,Under 1 year,17,7,25,36,23,9,Y,N,N,N,Mediterranean,N,Low-end,144,11,18,N,Lease,2219448,78310,2355931,39625,15669,29589,224,492,443,2
2889,KORNERSTONES BAR AND GRILL,Jefferey Roob,Restaurant,1601 BIRCHMOUNT RD,1601 BIRCHMOUNT RD,"NA",8424795671,1769232147,flw@yz.jrh,"NA",Under 1 year,6-10 years,26,2,25,32,16,30,Y,Y,Y,N,Italian,Y,Low-end,36,10,18,Y,Own,4371469,393210,1135085,18793,24761,18949,207,334,166,4
2890,KORYO KOREAN CUISINE,Efren Leannon,Restaurant,"5865 LESLIE ST, Unit-19","5865 LESLIE ST, Unit-19","NA",6493289637,2871432859,era@vng.cvy,"NA",Under 1 year,1-5 years,13,15,28,9,37,33,Y,Y,Y,N,Mediterranean,N,High-end,62,10,17,N,Lease,4844243,927340,2275007,7519,24712,38482,293,447,132,3
2891,KOS CAFE & RESTAURANT,Belkis Bauch,Restaurant,1070 BATHURST ST,1070 BATHURST ST,"NA",6526191859,6986239472,vbgdzfup@hsfdtjq.oqh,"NA",Under 1 year,1-5 years,11,15,16,22,5,27,Y,N,N,N,American,Y,Average,142,11,17,Y,Own,2231521,309824,4963717,30370,22207,4443,192,142,28,4
2892,KOS RESTAURANT,Gisele Doyle,Restaurant,61 BELLEVUE AVE,61 BELLEVUE AVE,"NA",2162577152,1259277164,jrschbnqet@bkh.hrk,"NA",11-20 years,1-5 years,16,24,24,11,23,32,N,Y,Y,N,Italian,Y,Low-end,95,12,22,N,Lease,1124717,636762,4861900,39234,23722,32880,486,219,305,2
2893,KOSAM,Laveta Considine,Restaurant,4922 YONGE ST,4922 YONGE ST,"NA",7131264517,3592396549,vhno@ua.wck,"NA",1-5 years,1-5 years,18,10,20,31,0,36,Y,N,Y,N,Chinese,N,Low-end,38,11,18,N,Lease,4136999,857880,2804722,1145,19631,10231,334,201,14,4
2894,KOSHER COUNTRY STYLE,Kori Hahn,Restaurant,"4700 KEELE ST, Unit-101","4700 KEELE ST, Unit-101","NA",1978179865,6597656931,rabektm@ue.qoe,"NA",6-10 years,Over 20 years,18,12,28,28,4,28,Y,Y,Y,N,Chinese,N,Average,35,12,18,N,Lease,1176180,24806,3273161,32046,24959,39361,314,89,150,3
2895,KOST,Gerry Lynch,Restaurant,80 BLUE JAYS WAY,80 BLUE JAYS WAY,"NA",4233765617,9437198193,tuyqph@x.xia,"NA",6-10 years,1-5 years,29,24,26,20,34,8,Y,N,Y,N,Indian,Y,Average,67,10,17,Y,Lease,3780362,683437,2199668,34308,4696,24232,221,44,400,2
2896,KOTHUR INDIAN CUISINE,Gregg Marvin,Restaurant,649 YONGE ST,649 YONGE ST,"NA",1527817526,9269416523,hideft@rjwlc.chy,"NA",6-10 years,1-5 years,24,14,22,27,11,4,Y,N,N,N,Greek,Y,Average,14,11,17,Y,Lease,4838992,983062,1562841,26239,19296,345,271,86,467,1
2897,KOTHUR INDIAN CUISINE,Mervin Bernhard,Restaurant,2403 LAKE SHORE BLVD W,2403 LAKE SHORE BLVD W,"NA",1278322786,3299417984,azp@ygbjro.gvx,"NA",6-10 years,1-5 years,5,1,6,27,19,21,Y,N,N,N,Greek,Y,Average,126,9,21,N,Own,4558255,976484,3672262,1598,3193,29401,132,127,466,3
2898,KOTTA JAPANESE RESTAURANT,Jed Mohr,Restaurant,1226 KING ST W,1226 KING ST W,"NA",7595975816,1287843215,yemc@gnstre.rux,"NA",1-5 years,Under 1 year,8,16,27,30,3,1,Y,N,Y,N,Vietnamese,N,Low-end,51,10,17,N,"Lease, want to purchase",1691598,614546,4063678,23863,5962,7410,21,489,254,4
2899,KOUKLA,Laree Powlowski,Restaurant,88 OSSINGTON AVE,88 OSSINGTON AVE,"NA",2596934928,6588475314,yuwekdln@zokdetrgwb.jex,"NA",11-20 years,Under 1 year,16,3,17,23,23,27,Y,Y,Y,N,Korean,N,Average,143,11,22,Y,Lease,2922749,556685,2330311,9831,11361,15563,393,304,100,2
2900,KOVALSKY RESTAURANT,Cesar Ledner,Restaurant,667 THE QUEENSWAY,667 THE QUEENSWAY,"NA",6827141475,3599868347,vrlbxocmkw@ljvbfdyi.cpl,"NA",Under 1 year,6-10 years,12,29,19,29,32,18,Y,Y,Y,N,Others,N,Average,6,12,22,Y,"Lease, want to purchase",2165255,953249,445349,38185,6002,33380,129,339,184,2
2901,KOY EVI VILLAGE HOUSE TURKISH RESTAURANT,Lurline Pouros,Restaurant,"1027 FINCH AVE W, Unit-3","1027 FINCH AVE W, Unit-3","NA",5686848457,8466814865,lrjmviqc@jsirvylgq.gue,"NA",1-5 years,1-5 years,11,16,12,37,36,34,Y,N,N,N,Mediterranean,Y,High-end,17,11,19,Y,Own,619902,603592,3304437,8412,19812,20561,256,389,466,4
2902,KOYOI,Leah Prohaska,Restaurant,2 IRWIN AVE,2 IRWIN AVE,"NA",9659526348,1686749817,gzvdbsal@pmsr.hdq,"NA",11-20 years,Over 20 years,22,26,2,26,7,34,N,N,Y,N,Chinese,Y,High-end,123,9,17,Y,Own,4909075,294639,113431,20859,2123,13141,256,427,313,4
2903,KRAMER'S BAR AND GRILL,Troy Miller,Restaurant,1915 YONGE ST,1915 YONGE ST,"NA",7922649241,6915914756,egt@wpzn.ibh,"NA",11-20 years,11-20 years,22,26,24,32,30,36,Y,Y,Y,Y,Thai,N,Low-end,21,10,17,N,Lease,3583820,198492,3942330,17599,11173,2313,410,115,378,4
2904,KRAVE COFFEE,Jestine Waelchi,Restaurant,781 ST CLAIR AVE W,781 ST CLAIR AVE W,"NA",1641457251,4673784921,jz@yzqavf.vdu,"NA",11-20 years,11-20 years,28,3,8,33,1,21,Y,N,Y,N,Greek,Y,High-end,131,11,20,N,"Lease, want to purchase",3830613,773523,2865205,13889,6704,18625,49,31,78,1
2905,KRAZY ROLL,Elroy Ritchie,Restaurant,84 MARINE PARADE DR,84 MARINE PARADE DR,"NA",7239482653,2466757128,cxy@egdhnfwq.vek,"NA",Under 1 year,Over 20 years,22,25,3,22,14,11,Y,Y,Y,N,Mexican,N,Average,85,10,22,Y,Own,4396489,32098,3071234,25010,16076,32987,127,342,110,2
2906,KRISPY KREME DOUGHNUTS,Magaret Padberg,Restaurant,400 SPADINA AVE,400 SPADINA AVE,"NA",3741867981,1329462915,jwx@kqzfnuo.dvx,"NA",Over 20 years,11-20 years,26,12,28,16,33,5,Y,Y,Y,N,Others,N,Average,61,11,18,N,Lease,2023460,68687,1153444,3752,22490,37011,243,137,309,3
2907,KRYSTOS MODERN GREEK CUISINE,Donna Bins,Restaurant,"3200 DUFFERIN ST, 22","3200 DUFFERIN ST, 22","NA",1258659836,8949273796,ynbm@pcfgb.cjt,"NA",Under 1 year,1-5 years,12,17,14,16,30,37,Y,Y,N,N,Thai,N,Low-end,126,12,21,N,Own,1988951,176020,931103,8700,4874,27199,53,407,362,2
2908,KUMO SUSHI JAPANESE RESTAURANT,Allegra Bosco,Restaurant,"562 KIPLING AVE, Unit-1","562 KIPLING AVE, Unit-1","NA",2847932867,1292374316,buvnxyotgh@thrxzjweub.xtl,"NA",1-5 years,Under 1 year,28,22,22,8,26,25,Y,Y,Y,N,American,N,High-end,94,12,22,N,Lease,3453208,321812,755916,9587,24462,31383,27,221,421,4
2909,KUNG FU TEA,Denny Mraz,Restaurant,106 CUMBERLAND ST,106 CUMBERLAND ST,"NA",4976353287,2978954513,ylkxv@tzfjrxpohu.inq,"NA",1-5 years,6-10 years,24,12,17,16,24,20,Y,N,N,N,Vietnamese,N,Average,86,10,17,N,Own,1634150,111418,3986118,33606,19784,14809,182,295,365,1
2910,KUNG FU TEA,Emerson Wunsch,Restaurant,633 BLOOR ST W,633 BLOOR ST W,"NA",1297329518,3727411576,owhtp@qa.cvw,"NA",Under 1 year,Over 20 years,18,5,29,34,37,5,Y,N,Y,N,Greek,N,Low-end,19,10,22,Y,Lease,596651,324852,2650154,38591,4948,8658,154,184,213,4
2911,KUNG FU TEA,Gerald Gottlieb,Restaurant,4733 STEELES AVE E,4733 STEELES AVE E,"NA",8262144361,1454268325,vfysruxik@ogm.swe,"NA",1-5 years,1-5 years,5,22,7,23,34,3,Y,N,Y,N,Japanese,Y,Average,76,12,22,Y,Lease,2079835,242589,1783455,24669,5800,9309,188,31,481,1
2912,KUNG FU TEA,Omega Cassin,Restaurant,"4893 YONGE ST, Bldg-0","4893 YONGE ST, Bldg-0","NA",5124973265,6318518572,zjcay@hligmrqbou.due,"NA",1-5 years,Over 20 years,20,1,22,19,24,35,Y,Y,N,N,Japanese,N,Average,119,12,17,N,"Lease, want to purchase",3803197,623481,3428586,1598,20898,18667,54,174,202,1
2913,KUNG-FU TEA,Damien Brown,Restaurant,287 COLLEGE ST,287 COLLEGE ST,"NA",2435715473,2644623182,rlq@ykpclwreda.sgh,"NA",11-20 years,Over 20 years,14,14,20,26,22,11,Y,N,Y,Y,Chinese,N,Low-end,69,9,20,N,Own,287548,458174,3264297,24213,12815,10466,333,343,53,3
2914,KUNI SUSHI-YA,Suzann Swift,Restaurant,20 BALDWIN ST,20 BALDWIN ST,"NA",7591357652,7697515291,lvsfeabr@ebqvsdozac.pwf,"NA",Over 20 years,Over 20 years,20,22,26,32,36,5,Y,Y,N,N,Indian,N,Average,135,10,21,N,Own,933112,22799,2967360,18346,5720,38026,227,279,174,4
2915,KUPFERT & KIM,Gerard Zboncak,Restaurant,2313 YONGE ST,2313 YONGE ST,"NA",9272461587,2514525987,oqbgzlaw@zpwf.bza,"NA",Over 20 years,6-10 years,7,20,6,29,39,39,Y,N,N,N,Chinese,Y,Low-end,138,12,22,N,Lease,4308522,304678,252006,9400,4588,23182,83,13,307,4
2916,KUPFERT & KIM,Carroll Rosenbaum,Restaurant,100 BLOOR ST W,100 BLOOR ST W,"NA",8214826137,6718275487,t@owuageljvd.efj,"NA",Over 20 years,1-5 years,27,14,16,39,3,33,N,Y,Y,N,Mexican,Y,Average,8,9,21,Y,Lease,3742239,722806,4062198,35188,5484,9702,360,364,177,3
2917,KUPFERT & KIM,Gregory Kuvalis,Restaurant,140 SPADINA AVE,140 SPADINA AVE,"NA",3747185619,6485633916,chtbaj@ybdel.zqe,"NA",11-20 years,Under 1 year,6,15,13,36,16,8,Y,Y,Y,N,American,N,High-end,52,9,17,N,Own,1779157,601276,4756296,17397,17823,30713,133,496,257,3
2918,KWAN,Ruthann Stehr,Restaurant,1496 YONGE ST,1496 YONGE ST,"NA",1726474978,5688427512,bksfn@g.yvq,"NA",Over 20 years,Over 20 years,28,11,17,24,20,16,Y,Y,Y,N,Japanese,Y,High-end,95,12,17,Y,Own,1090031,257332,2481362,24058,23731,9609,57,259,372,3
2919,KWAN AT YORK MILLS,Ettie Medhurst,Restaurant,"808 YORK MILLS RD, Unit-8","808 YORK MILLS RD, Unit-8","NA",3476316935,6533973479,gcwhj@hmtebpjv.rte,"NA",1-5 years,1-5 years,25,10,19,33,22,36,Y,Y,Y,N,Chinese,N,High-end,7,10,18,Y,Lease,3662434,780515,21932,36021,20222,17617,418,131,164,4
2920,KWAN DIM SUM EXPRESS AT STC,Francesco Daniel,Restaurant,"300 BOROUGH DR, Unit-002","300 BOROUGH DR, Unit-002","NA",8925381592,3262313798,rd@ezhacqxuir.dpx,"NA",1-5 years,11-20 years,21,23,16,24,5,35,Y,N,N,N,Italian,N,High-end,129,9,18,Y,Own,1380878,901751,16592,11074,17418,24572,247,55,16,1
2921,KYO SUSHI,Bette Auer,Restaurant,"2875 LAKE SHORE BLVD W, Bldg-1","2875 LAKE SHORE BLVD W, Bldg-1","NA",9146193569,6289741524,jckabux@ckib.yep,"NA",1-5 years,1-5 years,15,22,18,18,22,20,Y,Y,N,N,American,Y,Low-end,126,9,22,N,Lease,954153,793219,1896761,2046,23126,27585,262,193,379,1
2922,KYOTO HOUSE JAPANESE RESTAURANT,Johnathan Aufderhar,Restaurant,143 DUNDAS ST W,143 DUNDAS ST W,"NA",9864236187,7323124537,kqi@wtdozpcul.auq,"NA",6-10 years,Under 1 year,25,17,1,34,7,10,Y,Y,Y,N,Mexican,N,Average,8,12,19,N,"Lease, want to purchase",4162558,854462,245793,19204,18063,35447,465,157,488,2
2923,KYOUKA RAMEN,Hobert McGlynn,Restaurant,2222 QUEEN ST E,2222 QUEEN ST E,"NA",8956389751,3184876529,cxajpuvly@aqus.pxc,"NA",11-20 years,1-5 years,24,24,16,9,20,29,Y,Y,Y,N,Others,N,High-end,68,11,20,N,Own,1513347,657095,4551616,2165,12070,2640,261,32,233,4
2924,KYU SHON HONG CO. LTD,Casey Strosin,Restaurant,439 DUNDAS ST W,439 DUNDAS ST W,"NA",1949818316,2379378453,yacpb@cuay.qot,"NA",Under 1 year,11-20 years,15,4,14,27,3,14,Y,N,Y,N,Chinese,N,Low-end,39,11,19,N,Own,3044471,997159,3867238,3425,10703,28608,354,180,95,1
2925,Kababia,Frida Monahan,Restaurant,1202 DANFORTH AVE,1202 DANFORTH AVE,"NA",4356323694,4814533817,kabtepj@qxno.fic,"NA",1-5 years,1-5 years,28,11,4,33,23,20,Y,N,Y,Y,Korean,N,Low-end,111,12,20,Y,Lease,2563322,802058,1497148,24480,22767,572,391,15,25,3
2926,Kairali,Enrique Nitzsche,Restaurant,1210 KENNEDY RD,1210 KENNEDY RD,"NA",7252538534,1273988524,j@neckjuwipd.tjb,"NA",11-20 years,1-5 years,18,24,17,29,9,33,Y,Y,Y,N,Chinese,N,Average,131,12,19,N,Lease,4109257,189376,679071,18113,7189,14852,126,446,116,2
2927,Kaka all you can eat sushi,Raymonde Boyer,Restaurant,655 BAY ST,655 BAY ST,"NA",9431784297,5919645693,mfuzwlxed@dwzvcgyn.tpa,"NA",11-20 years,Over 20 years,6,3,2,33,13,39,N,Y,Y,N,Chinese,N,High-end,96,11,22,Y,Lease,775598,438112,4928301,39944,24015,27818,105,447,145,2
2928,Kandahar Kabab,Sydney Reynolds,Restaurant,2307 MARKHAM RD,2307 MARKHAM RD,"NA",4851722941,3929162596,jz@cjbmdtoes.jpd,"NA",1-5 years,Over 20 years,10,18,21,35,15,12,Y,N,Y,Y,Others,Y,Average,55,9,17,N,Lease,4835944,572871,3195436,23760,6282,17321,478,63,266,4
2929,Kanto By Tita Flips,Lashell Lemke,Restaurant,2986 DUNDAS ST W,2986 DUNDAS ST W,"NA",3624653845,4828132349,ojahwrbz@matzd.plw,"NA",Over 20 years,1-5 years,13,9,26,12,24,15,Y,Y,Y,Y,Mediterranean,Y,High-end,30,12,22,Y,Lease,4840289,14107,1575511,34809,9235,11694,387,165,413,4
2930,Karl Sports Bar & Grill,Gary Haag,Restaurant,4528 KINGSTON RD,4528 KINGSTON RD,"NA",6813711652,9848731539,yqokz@avwoir.ftc,"NA",11-20 years,11-20 years,9,10,27,9,7,22,Y,N,N,N,Others,Y,Low-end,55,10,18,Y,"Lease, want to purchase",4151609,899049,2514537,34989,7945,11586,446,79,185,4
2931,Kennedy Bingo Hall,Romona Torphy,Restaurant,991 KENNEDY RD,991 KENNEDY RD,"NA",9187982956,7939724825,jxndoqkf@gk.rmc,"NA",Over 20 years,Under 1 year,22,15,25,29,23,32,Y,N,Y,N,Mexican,Y,Low-end,88,12,20,Y,Lease,4598096,286926,2035781,25045,7554,26948,140,134,407,1
2932,Kiin Restaurant,Gertrude Hammes,Restaurant,326 ADELAIDE ST W,326 ADELAIDE ST W,"NA",6417162358,6787614965,lk@erc.yjz,"NA",Over 20 years,6-10 years,18,5,17,9,23,20,Y,Y,Y,Y,Italian,N,Low-end,92,11,18,Y,Own,677545,76309,1892524,5216,6032,38532,475,258,34,3
2933,Kin Kin Bubble Tea Co.,Diamond Durgan,Restaurant,"1571 SANDHURST CRCL, - 165","1571 SANDHURST CRCL, - 165","NA",9368532378,3478957836,pozhg@fyrxkj.hgr,"NA",11-20 years,1-5 years,28,21,27,20,36,2,N,Y,Y,N,Mexican,N,Average,33,12,17,N,Own,1679231,56244,977154,28649,16234,12283,434,483,474,2
2934,Kitchen King Jamaican Restaurant and Catering Services,Lizeth Jerde,Restaurant,"885 PROGRESS AVE, Unit-108","885 PROGRESS AVE, Unit-108","NA",3964685867,7869277326,jzcetvxnom@pkv.spv,"NA",Over 20 years,1-5 years,25,18,17,36,18,3,Y,Y,Y,Y,Chinese,N,Average,138,12,19,N,Own,4147440,138854,2267560,24629,3492,37900,84,374,74,4
2935,Kitchen King Jerk,Gidget Smitham,Restaurant,2079 LAWRENCE AVE W,2079 LAWRENCE AVE W,"NA",4286499732,7299234853,zkeqxb@cnag.mbn,"NA",1-5 years,11-20 years,12,6,8,25,23,3,Y,N,Y,N,Chinese,N,High-end,143,11,18,N,"Lease, want to purchase",4654446,984582,4341104,38796,8691,26295,53,92,151,4
2936,Knights Inn,Von Hickle,Restaurant,22 METROPOLITAN RD,22 METROPOLITAN RD,"NA",6526587483,7367254536,ns@rjavd.mqs,"NA",Under 1 year,1-5 years,13,20,10,17,36,7,Y,N,Y,N,Greek,N,Low-end,105,10,18,N,Own,4032847,112241,3226828,39241,24746,32028,362,147,189,4
2937,Kroran Uyghur Cuisine,Kelvin Gusikowski,Restaurant,1515 BIRCHMOUNT RD,1515 BIRCHMOUNT RD,"NA",7582482148,6798421849,ocgdl@yzo.axi,"NA",6-10 years,1-5 years,22,16,3,11,37,13,Y,Y,Y,N,Korean,N,High-end,31,12,22,N,Own,3360085,791448,4230878,4593,13064,11662,486,147,435,3
2938,Kub Khao Thai Cuisine,Sheri Jacobs,Restaurant,"3561 SHEPPARD AVE E, Unit-1","3561 SHEPPARD AVE E, Unit-1","NA",2169872438,4816152156,bxwjmi@danrvzgm.tfu,"NA",11-20 years,1-5 years,24,27,7,18,19,29,N,Y,Y,N,Indian,Y,Low-end,58,10,21,Y,"Lease, want to purchase",2699609,822465,2543534,18682,1651,13019,419,18,105,2
2939,Kunafa's,Viva White,Restaurant,"1801 LAWRENCE AVE E, Unit-#2","1801 LAWRENCE AVE E, Unit-#2","NA",3266711736,8312874513,jwv@ivlag.fqj,"NA",6-10 years,Over 20 years,10,13,3,21,0,22,Y,Y,Y,N,Mediterranean,Y,Average,143,10,17,N,Own,4725829,266932,1719900,36266,20410,15579,484,244,248,4
2940,L & L CAFE,Alberto Johnston,Restaurant,931 ST CLAIR AVE W,931 ST CLAIR AVE W,"NA",2976136754,6171851826,wtdcfhm@bqwpjmtnyo.uyr,"NA",Over 20 years,6-10 years,17,21,23,21,29,19,Y,Y,Y,N,Thai,Y,Average,12,12,22,N,Own,1842658,322866,795078,17644,1263,16680,489,238,359,3
2941,L & T BAR CAFFE,Teena Conn,Restaurant,1068 ST CLAIR AVE W,1068 ST CLAIR AVE W,"NA",3211644328,9125931326,jpzlvikcry@ibfo.onc,"NA",11-20 years,1-5 years,21,15,26,11,12,11,Y,N,Y,N,Vietnamese,Y,Low-end,97,10,18,N,Own,2497963,848804,3862604,12716,4899,20161,151,249,252,4
2942,L'ARC EN CIEL,Ciara Heller,Restaurant,376 COLLEGE ST,376 COLLEGE ST,"NA",3846437198,6254161394,ciu@huajq.jpa,"NA",11-20 years,1-5 years,26,29,28,33,30,12,N,Y,Y,N,Indian,Y,Average,41,12,17,N,Lease,4290171,583226,1619967,26012,5500,39873,314,456,437,1
2943,L'ESPRESSO BAR MERCURIO,Alvin Ferry,Restaurant,321 BLOOR ST W,321 BLOOR ST W,"NA",6573725391,8292659286,npxlvwr@hugzo.ixn,"NA",6-10 years,1-5 years,23,26,26,9,11,23,N,N,N,N,Mexican,Y,Average,68,11,19,N,Own,3296006,613580,3915197,21552,20311,16414,477,48,282,2
2944,L'UNITA,Tyler Brakus,Restaurant,134 AVENUE RD,134 AVENUE RD,"NA",4939538275,4327395421,fpeyngd@pbwtyid.ngy,"NA",Under 1 year,1-5 years,6,24,25,14,27,25,Y,Y,Y,N,Vietnamese,N,Average,6,11,18,Y,Lease,2043019,148796,4602697,15270,11783,4925,305,322,182,3
2945,L-EAT CATERING,Brenna Rohan,Restaurant,3829 BATHURST ST,3829 BATHURST ST,"NA",8176735249,2135878124,kfshrgt@d.kmv,"NA",11-20 years,Under 1 year,26,14,16,23,11,9,Y,N,N,N,Greek,N,Low-end,77,10,18,Y,Lease,3420731,495855,3255594,1948,22406,32166,417,10,404,1
2946,LA  SALA RESTAURANT,Devon Schmeler,Restaurant,1975 QUEEN ST E,1975 QUEEN ST E,"NA",2989737325,7425682175,ytgajnv@qxscvroa.bmq,"NA",1-5 years,Under 1 year,18,17,25,18,19,35,Y,N,Y,N,Chinese,N,Low-end,119,12,19,N,"Lease, want to purchase",4921414,2861,207347,37140,850,3626,170,494,397,1
